x,y,heading,curvature,speed
38.9892,34.2353,1.0565,0.005003,7.0
39.4065,34.9775,1.0596,0.002437,7.0
39.8238,35.7234,1.0602,0.001138,7.0
40.2438,36.4723,1.0573,0.005658,7.0
40.6697,37.2232,1.0501,0.010923,7.0
41.1055,37.9749,1.0381,0.016602,7.0
41.5559,38.7263,1.0211,0.022172,7.0
42.0259,39.4769,0.9991,0.027359,7.0
42.5194,40.224,0.9719,0.033787,7.0
43.0349,40.9552,0.9382,0.042293,7.0
43.5676,41.6538,0.8967,0.053326,7.0
44.1117,42.3029,0.845,0.070527,7.0
44.6617,42.8866,0.7778,0.099673,7.0
45.2149,43.3895,0.69,0.138159,6.687
45.7706,43.8018,0.5807,0.179144,5.976
46.3296,44.1209,0.4474,0.237856,5.228
46.8876,44.3378,0.2912,0.253403,5.065
47.5007,44.4718,0.1569,0.147402,5.65
48.287,44.5592,0.1053,0.012322,6.312
49.152,44.6463,0.1459,0.116471,5.921
49.9183,44.7989,0.2889,0.259089,5.009
50.5765,45.0697,0.4961,0.255729,5.042
51.2643,45.5276,0.6581,0.154824,5.803
51.9507,46.1321,0.7772,0.122842,6.544
52.5526,46.7947,0.8973,0.150129,6.58
53.0376,47.4942,1.0443,0.198057,5.729
53.3819,48.2216,1.221,0.247235,5.127
53.5664,48.944,1.4168,0.270255,4.904
53.6041,49.6537,1.612,0.239969,5.205
53.5051,50.4315,1.7332,0.07449,5.91
53.3219,51.376,1.7554,0.013961,4.909
53.145,52.36,1.6965,0.130871,3.597
53.097,53.1557,1.4135,0.969557,2.589
53.3313,53.5344,0.5703,1.251056,2.279
53.993,53.7304,0.1786,0.233727,3.478
54.9225,53.8217,0.1139,0.048134,4.529
55.5808,53.912,0.2423,0.46135,3.754
56.0038,54.089,0.6176,0.789351,2.87
56.3916,54.4879,0.9068,0.306941,3.715
56.773,55.072,1.0272,0.092279,4.558
57.1432,55.7317,1.0571,0.006382,5.323
57.4955,56.3526,1.0203,0.110744,5.956
57.8407,56.8682,0.9245,0.178832,6.029
58.2473,57.3491,0.8234,0.120545,6.53
58.7817,57.8835,0.7695,0.037216,7.0
59.403,58.4687,0.7559,0.001038,6.624
60.0673,59.0955,0.7703,0.029909,5.558
60.7238,59.7501,0.8192,0.085937,4.406
61.2596,60.3712,0.9256,0.225907,3.342
61.5686,60.8725,1.2344,1.119291,2.41
61.5688,61.2555,2.0023,1.615827,2.006
61.2169,61.6361,2.4896,0.464227,3.034
60.5787,62.0112,2.6799,0.157532,4.076
59.7663,62.3579,2.7776,0.084614,5.044
58.885,62.6565,2.8461,0.067414,5.895
57.9949,62.8972,2.9076,0.065969,6.631
57.0996,63.0821,2.9676,0.065334,7.0
56.2034,63.2121,3.027,0.066181,7.0
55.3127,63.2877,3.0874,0.069157,7.0
54.4349,63.3081,-3.1329,0.074536,7.0
53.5779,63.2726,-3.0659,0.082333,7.0
52.7493,63.1802,-2.9933,0.092254,7.0
51.9554,63.0302,-2.9143,0.103419,7.0
51.2008,62.8221,-2.829,0.114022,7.0
50.4866,62.5555,-2.7379,0.124547,7.0
