x,y,heading,curvature,speed
35.3368,58.6866,1.6214,0.121923,7.0
35.3067,59.084,1.6741,0.142874,6.717
35.2556,59.4699,1.7337,0.16334,6.308
35.1819,59.8432,1.7996,0.183242,5.956
35.0849,60.2026,1.8714,0.202456,5.666
34.964,60.5463,1.9485,0.220823,5.425
34.8191,60.8725,2.0304,0.238109,5.225
34.6507,61.1794,2.1166,0.253945,5.059
34.4592,61.4652,2.2066,0.2682,4.923
34.2456,61.7284,2.2997,0.280681,4.812
34.0107,61.9674,2.3956,0.290196,4.733
33.7557,62.181,2.4933,0.295155,4.693
33.4813,62.3684,2.5915,0.29383,4.703
33.1883,62.5289,2.6885,0.28395,4.784
32.8772,62.6626,2.7816,0.263703,4.965
32.5479,62.77,2.8682,0.235169,5.257
32.2006,62.8523,2.9465,0.203295,5.586
31.8366,62.9106,3.0155,0.172089,5.907
31.4573,62.9465,3.0754,0.143406,6.221
31.0647,62.9617,3.1266,0.117881,6.529
30.6603,62.9584,-3.1136,0.095515,6.832
30.2461,62.9388,-3.0782,0.075915,7.0
29.8237,62.9054,-3.0498,0.058627,7.0
29.3947,62.8605,-3.0279,0.043403,7.0
28.9607,62.8068,-3.012,0.030002,7.0
28.5234,62.7469,-3.0013,0.018229,7.0
28.0843,62.6831,-2.9956,0.007918,7.0
27.645,62.6177,-2.9941,0.001177,7.0
27.2072,62.5528,-2.9964,0.009312,7.0
26.7725,62.4901,-3.0021,0.016698,7.0
26.3425,62.4313,-3.0107,0.02348,7.0
25.9188,62.3778,-3.022,0.029604,7.0
25.502,62.3304,-3.0355,0.034739,7.0
25.0913,62.2897,-3.0506,0.038409,7.0
24.6856,62.2559,-3.0667,0.040454,7.0
24.2841,62.2291,-3.0831,0.040795,7.0
23.8863,62.2091,-3.0991,0.039378,7.0
23.4913,62.1954,-3.114,0.036271,7.0
23.0986,62.1874,-3.1274,0.03158,7.0
22.7075,62.1842,-3.1385,0.02544,7.0
22.3172,62.185,3.1362,0.018012,7.0
21.9272,62.1885,3.1308,0.009446,7.0
21.5366,62.1934,3.129,0.000161,7.0
21.1446,62.1983,3.1311,0.01071,7.0
20.7505,62.2016,3.1376,0.022065,7.0
20.3535,62.2015,-3.1344,0.033998,7.0
19.9528,62.1959,-3.1183,0.046203,7.0
19.5478,62.1827,-3.0971,0.058282,7.0
19.1378,62.1596,-3.0707,0.069734,7.0
18.7225,62.1241,-3.0394,0.080019,7.0
18.3015,62.0739,-3.0035,0.089686,7.0
17.8769,62.0066,-2.9627,0.10117,7.0
17.4545,61.9207,-2.9161,0.115955,6.947
17.0405,61.8147,-2.8628,0.135106,6.511
16.6411,61.6879,-2.8014,0.160458,6.058
16.2627,61.5394,-2.7295,0.195516,5.588
15.9113,61.3689,-2.6442,0.244266,5.1
15.5924,61.1755,-2.5416,0.308967,4.587
15.3114,60.9585,-2.4182,0.387055,4.098
15.0728,60.7166,-2.2727,0.462913,3.747
14.8795,60.4476,-2.1109,0.495834,3.621
14.7316,60.1476,-1.9481,0.461638,3.752
14.6285,59.8142,-1.7978,0.39945,4.034
14.5713,59.4534,-1.6623,0.347444,4.325
14.5607,59.0754,-1.5384,0.312682,4.559
14.596,58.6913,-1.4224,0.293475,4.706
14.6748,58.3121,-1.3102,0.290024,4.734
14.7941,57.9484,-1.1969,0.306324,4.606
14.9504,57.6099,-1.0765,0.344231,4.345
15.1405,57.3056,-0.9427,0.405305,4.005
15.3618,57.0434,-0.7897,0.485395,3.659
15.6128,56.8293,-0.616,0.551436,3.433
15.8959,56.6653,-0.4353,0.516275,3.548
16.2215,56.5462,-0.2788,0.374944,4.007
16.5962,56.4648,-0.1649,0.232726,4.46
17.0129,56.4145,-0.0897,0.13634,4.908
17.4601,56.3871,-0.0441,0.073065,5.345
17.9246,56.3742,-0.0211,0.028534,5.763
18.3929,56.3675,-0.0161,0.007105,6.096
18.8512,56.3593,-0.027,0.042427,5.574
19.2862,56.3434,-0.0542,0.08706,5.043
19.6877,56.3139,-0.1018,0.157798,4.512
20.047,56.2657,-0.1793,0.287748,3.988
20.3568,56.1926,-0.305,0.525205,3.462
20.6155,56.0866,-0.4949,0.789845,2.869
20.8362,55.9339,-0.7193,0.787937,2.872
21.0316,55.7222,-0.9166,0.577262,3.336
21.2025,55.4562,-1.0689,0.406942,3.78
21.3462,55.1489,-1.1882,0.310961,4.205
21.4605,54.8149,-1.288,0.258373,4.606
21.546,54.4612,-1.3745,0.217804,4.985
21.6045,54.0913,-1.449,0.181355,5.348
21.6382,53.708,-1.5123,0.148628,5.696
21.65,53.3139,-1.5649,0.119432,6.032
21.6429,52.9109,-1.6077,0.093429,6.358
21.62,52.5007,-1.6412,0.070272,6.673
21.5847,52.0846,-1.6662,0.049913,6.979
21.54,51.664,-1.6835,0.032267,7.0
21.4891,51.2399,-1.694,0.017232,7.0
21.4347,50.8135,-1.6987,0.004644,7.0
21.3793,50.3859,-1.6984,0.005782,7.0
21.3249,49.9584,-1.6941,0.014356,7.0
21.2734,49.5321,-1.6865,0.02134,7.0
21.2262,49.1085,-1.6762,0.026915,7.0
21.1842,48.6886,-1.664,0.031076,7.0
21.1481,48.273,-1.6505,0.033654,7.0
21.1181,47.8609,-1.6364,0.034521,7.0
21.0942,47.4519,-1.6224,0.033816,7.0
21.076,47.0456,-1.609,0.03173,7.0
21.0632,46.6416,-1.5969,0.028441,7.0
21.055,46.2395,-1.5863,0.024182,7.0
21.0507,45.839,-1.5776,0.019208,7.0
21.0496,45.4397,-1.571,0.013768,7.0
21.0506,45.0412,-1.5666,0.008101,7.0
21.0529,44.6431,-1.5645,0.002436,7.0
21.0556,44.245,-1.5646,0.003043,7.0
21.0578,43.8466,-1.5669,0.00818,7.0
21.0587,43.4474,-1.5711,0.01283,7.0
21.0576,43.0471,-1.577,0.016849,7.0
21.0537,42.6453,-1.5845,0.020092,7.0
21.0466,42.2415,-1.593,0.022403,7.0
21.0357,41.8354,-1.6024,0.023649,7.0
21.0208,41.4266,-1.6121,0.023778,7.0
21.0018,41.0153,-1.6217,0.022769,7.0
20.9788,40.6021,-1.6306,0.020564,7.0
20.9522,40.1873,-1.6385,0.017095,7.0
20.9225,39.7713,-1.6446,0.012293,7.0
20.8906,39.3544,-1.6484,0.006104,7.0
20.8576,38.937,-1.6494,0.001541,7.0
20.8248,38.5193,-1.6468,0.010701,7.0
20.794,38.1017,-1.6401,0.021411,7.0
20.7669,37.6845,-1.6286,0.033666,7.0
20.7457,37.2679,-1.6117,0.047258,7.0
20.7328,36.8523,-1.5892,0.061227,7.0
20.7304,36.4383,-1.5611,0.0744,7.0
